Nome,Streaming,Url
The Seven Deadly Sins: Revival of the Commandments,netflix,http://www.netflix.com/title/80050063
The Seven Deadly Sins: Imperial Wrath of the Gods,netflix,http://www.netflix.com/title/80050063
The Seven Deadly Sins: Dragon's Judgement,netflix,http://www.netflix.com/title/80050063
The Seven Deadly Sins: Cursed by Light,netflix,https://www.netflix.com/title/81263946
Violet Evergarden,netflix,http://www.netflix.com/title/80182123
Violet Evergarden: Eternity and the Auto Memory Doll,netflix,http://www.netflix.com/title/81208936
Violet Evergarden: the Movie,netflix,http://www.netflix.com/title/81193214
Violet Evergarden: Special,netflix,http://www.netflix.com/title/81010662
Rascal Does Not Dream of Bunny Girl Senpai,"netflix,crunchyroll","http://www.netflix.com/title/81228009,https://www.crunchyroll.com/pt-br/series/GYW4MG9G6/rascal-does-not-dream-of-bunny-girl-senpai"
Drifting Home,netflix,http://www.netflix.com/title/81328781
Case Closed: Zero's Tea Time,netflix,http://www.netflix.com/title/81313289
Devilman Crybaby,netflix,http://www.netflix.com/title/80174974
Nausicaä of the Valley of the Wind,netflix,http://www.netflix.com/title/70019062
The Wind Rises,netflix,http://www.netflix.com/title/70293674
Blue Exorcist: Kyoto Saga,crunchyroll,https://www.crunchyroll.com/pt-br/series/G649PJ0JY/blue-exorcist
Neon Genesis Evangelion: The End of Evangelion,netflix,http://www.netflix.com/title/60024788
Ponyo,netflix,http://www.netflix.com/title/70106454
Pokémon Journeys: The Series,netflix,"http://www.netflix.com/title/81291575,http://www.netflix.com/title/81193140,https://www.netflix.com/title/81291578"
Pokémon: To Be a Pokémon Master,netflix,https://www.netflix.com/watch/81714314
The Daily Life of the Immortal King,"netflix,crunchyroll","http://www.netflix.com/title/81364944,https://www.crunchyroll.com/pt-br/series/GZJH3DJ8E/the-daily-life-of-the-immortal-king"
"BASTARD!! -Heavy Metal, Dark Fantasy-",netflix,http://www.netflix.com/title/81281582
"BASTARD!! -Heavy Metal, Dark Fantasy- Hell’s Requiem Arc",netflix,http://www.netflix.com/title/81281582
AJIN: Demi-Human,netflix,http://www.netflix.com/title/80043576
AJIN: Demi-Human 2,netflix,http://www.netflix.com/title/80043576
Kuroko's Basketball,netflix,http://www.netflix.com/title/80063153
Kuroko's Basketball 2,netflix,http://www.netflix.com/title/80063153
Kuroko's Basketball 3,netflix,http://www.netflix.com/title/80063153
Komi Can’t Communicate,netflix,http://www.netflix.com/title/81228573
Komi Can't Communicate Part 2,netflix,http://www.netflix.com/title/81228573
KENGAN ASHURA Part I,netflix,http://www.netflix.com/title/80992228
KENGAN ASHURA Part II,netflix,http://www.netflix.com/title/80992228
KENGAN ASHURA Season 2,netflix,http://www.netflix.com/title/80992228
Bubble,netflix,http://www.netflix.com/title/81345945
BAKI,netflix,http://www.netflix.com/title/80204451
Baki: The Great Raitai Tournament Saga,netflix,http://www.netflix.com/title/80204451
Great Pretender,netflix,http://www.netflix.com/title/81220435
BELLE,netflix,http://www.netflix.com/title/81492822
Den-noh Coil,netflix,http://www.netflix.com/title/81299264
Kiki's Delivery Service,netflix,http://www.netflix.com/title/60027106
Romantic Killer,netflix,http://www.netflix.com/title/81318888
BEASTARS,netflix,http://www.netflix.com/title/81054847
BEASTARS Season 2,netflix,http://www.netflix.com/title/81054847
Kakegurui,netflix,http://www.netflix.com/title/80175351
Kakegurui xx,netflix,http://www.netflix.com/title/80175351
Kotaro Lives Alone,netflix,http://www.netflix.com/title/81275353
SHAMAN KING (2021),netflix,http://www.netflix.com/title/81239555
Shaman King,primevideo,https://app.primevideo.com/detail?gti=amzn1.dv.gti.60ba5b67-e53b-1358-de8f-fe8ac94b49d0
Kimi ni Todoke: From Me to You,netflix,http://www.netflix.com/title/80236253
Kimi ni Todoke: From Me to You Season 2,netflix,http://www.netflix.com/title/80236253
The Seven Deadly Sins: Grudge of Edinburgh Part 1,netflix,http://www.netflix.com/title/81302750
Heaven Official's Blessing,crunchyroll,https://www.crunchyroll.com/pt-br/series/G79H23XX8/heaven-officials-blessing
GANTZ:O,netflix,http://www.netflix.com/title/80149259
Toradora!,"netflix,crunchyroll","http://www.netflix.com/title/80049275,https://www.crunchyroll.com/pt-br/series/G6P8PXJW6/toradora"
SPRIGGAN (ONA),netflix,http://www.netflix.com/title/81050064
"Modest Heroes: Ponoc Short Films Theatre, Volume 1",netflix,http://www.netflix.com/title/81143068
Hellsing Ultimate,netflix,http://www.netflix.com/title/80988066
Whisper of the Heart,netflix,http://www.netflix.com/title/70045021
Sailor Moon Crystal,"netflix,crunchyroll","http://www.netflix.com/title/80145747,https://www.crunchyroll.com/pt-br/series/GYX019NPR/sailor-moon-crystal"
Sailor Moon Crystal Season 3,"netflix,crunchyroll","http://www.netflix.com/title/80145747,https://www.crunchyroll.com/pt-br/series/GYX019NPR/sailor-moon-crystal"
Sailor Moon S,netflix,http://www.netflix.com/title/70020763
Sailor Moon R: The Movie,netflix,http://www.netflix.com/title/26588007
Dragon Quest: Your Story,netflix,http://www.netflix.com/title/81170086
Kabaneri of the Iron Fortress,"primevideo,crunchyroll","https://app.primevideo.com/detail?gti=amzn1.dv.gti.e6ac25e0-19c5-4ddb-50b9-beb3fcc7a558,https://www.crunchyroll.com/pt-br/series/GR24GX896/kabaneri-of-the-iron-fortress"
Kabaneri of the Iron Fortress: The Battle of Unato,netflix,http://www.netflix.com/title/81095103
The Secret World of Arrietty,netflix,http://www.netflix.com/title/70216227
Children of the Whales,netflix,http://www.netflix.com/title/80174917
My Hero Academia: Two Heroes,netflix,http://www.netflix.com/title/81051689
A Silent Voice,netflix,http://www.netflix.com/title/80223226
Green Snake,netflix,http://www.netflix.com/title/81504698
The Disastrous Life of Saiki K.,netflix,http://www.netflix.com/title/81054849
The Disastrous Life of Saiki K. Season 2,netflix,http://www.netflix.com/title/80117781
The Disastrous Life of Saiki K.: Reawakened,netflix,http://www.netflix.com/title/80117781
Kingsglaive Final Fantasy XV,netflix,http://www.netflix.com/title/80118543
NiNoKuni,netflix,http://www.netflix.com/title/81093113
BNA,netflix,http://www.netflix.com/title/81220429
My Hero Academia: Heroes Rising,netflix,http://www.netflix.com/title/81398907
Ghost in the Shell: SAC_2045 Sustainable War,netflix,http://www.netflix.com/title/81513128
Words Bubble Up Like Soda Pop,netflix,http://www.netflix.com/title/81400497
Pokémon the Movie: Secrets of the Jungle,netflix,http://www.netflix.com/title/81346307
Tiger & Bunny,netflix,http://www.netflix.com/title/80039972
TIGER & BUNNY 2,netflix,http://www.netflix.com/title/80039972
TIGER & BUNNY 2 Part 2,netflix,http://www.netflix.com/title/80039972
Pretty Guardian Sailor Moon Eternal The Movie Part 1,netflix,https://www.netflix.com/title/81214399
Pretty Guardian Sailor Moon Eternal The Movie Part 2,netflix,https://www.netflix.com/title/81214399
Super Crooks,netflix,http://www.netflix.com/title/81034907
Mobile Suit Gundam Hathaway,netflix,http://www.netflix.com/title/81439253
Mobile Suit Gundam I,netflix,http://www.netflix.com/title/70014611
Sol Levante,netflix,http://www.netflix.com/title/81017017
Thermae Romae Novae,netflix,http://www.netflix.com/title/81264354
Ghost in the Shell: SAC_2045,netflix,http://www.netflix.com/title/81030224
Ghost in the Shell: SAC_2045 Season 2,netflix,http://www.netflix.com/title/81030224
Castle in the Sky,netflix,http://www.netflix.com/title/60027393
Magi: The Kingdom of Magic,crunchyroll,https://www.crunchyroll.com/pt-br/series/GY09XN14Y/magi
Mobile Suit Gundam III: Encounters in Space,netflix,http://www.netflix.com/title/70014613
